id,source_site,title,company,location,is_remote,job_type,salary_min,salary_max,salary_currency,apply_url,posted_at,normalized_at,visa_keywords,visa_status,confidence_score,description_preview
10,we_work_remotely,Finance Expert - Portfolio Management,xAI,Management and Finance,True,,,,AUD,https://weworkremotely.com/remote-jobs/xai-finance-expert-portfolio-management,2026-04-16 20:44:52+00:00,2026-05-11 12:39:20.402890+00:00,"visa sponsorship, visa sponsor",,,
9,arbeitnow,"HV Cable Jointing Team Lead - Laboratory & Field Operations (a)| Region: Zurich, Switzerland",CONCAPE,Hamburg,False,other,,,AUD,https://www.arbeitnow.com/jobs/companies/concape/hv-cable-jointing-team-lead-laboratory-field-operations-a-region-zurich-switzerland-cologne-147654,2026-05-04 16:29:03+00:00,2026-05-11 12:39:01.542504+00:00,relocation support,,,
8,arbeitnow,(Senior) Digital Analytics Specialist,SumUp,"Berlin, Germany",False,,,,AUD,https://www.arbeitnow.com/jobs/companies/sumup/senior-digital-analytics-specialist-berlin-303765,2026-05-04 13:45:19+00:00,2026-05-11 12:39:01.283695+00:00,relocation assistance,,,
7,arbeitnow,"HV Cable Jointing Team Lead - Laboratory & Field Operations (a)| Region: Zurich, Switzerland",CONCAPE,Munich,False,other,,,AUD,https://www.arbeitnow.com/jobs/companies/concape/hv-cable-jointing-team-lead-laboratory-field-operations-a-region-zurich-switzerland-munich-324451,2026-05-04 15:00:49+00:00,2026-05-11 12:39:01.137560+00:00,relocation support,,,
6,arbeitnow,Engineering Manager (m/f/d),JOIN,Berlin,False,other,,,AUD,https://www.arbeitnow.com/jobs/companies/join/engineering-manager-berlin-248146,2026-05-04 15:00:50+00:00,2026-05-11 12:39:00.954306+00:00,relocation support,,,
5,arbeitnow,Mid Data Analyst - Finance,SumUp,"Berlin, Berlin, Germany",False,,,,AUD,https://www.arbeitnow.com/jobs/companies/sumup/mid-data-analyst-finance-berlin-142144,2026-05-04 20:45:21+00:00,2026-05-11 12:39:00.767500+00:00,relocation assistance,,,
4,arbeitnow,IT & Security Manager,24Industries,Munich,False,other,,,AUD,https://www.arbeitnow.com/jobs/companies/24industries/it-security-manager-munich-376913,2026-05-07 17:30:27+00:00,2026-05-11 12:39:00.504212+00:00,relocation support,,,
3,arbeitnow,Production Engineer – UAV Platform,24Industries,Munich,False,other,,,AUD,https://www.arbeitnow.com/jobs/companies/24industries/production-engineer-uav-platform-munich-51663,2026-05-07 17:30:28+00:00,2026-05-11 12:39:00.355615+00:00,relocation support,,,
2,arbeitnow,Teamlead Accounting & Finance (m/f/d),JOIN,Berlin,False,other,,,AUD,https://www.arbeitnow.com/jobs/companies/join/teamlead-accounting-finance-berlin-321102,2026-05-08 10:00:39+00:00,2026-05-11 12:39:00.202712+00:00,relocation support,,,
1,arbeitnow,Python Software Engineer - Machine Learning Systems (m/f/d),CUJU,Frankenthal,True,other,,,AUD,https://www.arbeitnow.com/jobs/companies/cuju/python-software-engineer-machine-learning-systems-frankenthal-183273,2026-05-08 12:30:24+00:00,2026-05-11 12:39:00.022800+00:00,relocation support,,,
